
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v3.4.3)

2025-03-25 15:34:23 [main] INFO  c.z.c.CodasimpledemoApplication - Starting CodasimpledemoApplication v0.0.1-SNAPSHOT using Java 23.0.2 with PID 19651 (/Users/testuser/Projects/coda/codasimpledemo/target/codasimpledemo-0.0.1-SNAPSHOT.jar started by testuser in /Users/testuser/Projects/coda/codasimpledemo)
2025-03-25 15:34:23 [main] INFO  c.z.c.CodasimpledemoApplication - No active profile set, falling back to 1 default profile: "default"
2025-03-25 15:34:23 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2025-03-25 15:34:24 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-25 15:34:24 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-03-25 15:34:24 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-25 15:34:24 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 789 ms
2025-03-25 15:34:24 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2025-03-25 15:34:24 [main] INFO  c.z.c.CodasimpledemoApplication - Started CodasimpledemoApplication in 1.614 seconds (process running for 2.053)
2025-03-25 15:39:02 [http-nio-8081-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-03-25 15:39:02 [http-nio-8081-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-03-25 15:39:02 [http-nio-8081-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-03-25 15:39:02 [http-nio-8081-exec-2] INFO  c.z.c.controller.EchoController - Received request on port 8081
2025-03-25 15:41:34 [http-nio-8081-exec-4] INFO  c.z.c.controller.EchoController - Received request on port 8081
2025-03-25 15:44:03 [http-nio-8081-exec-7] INFO  c.z.c.controller.EchoController - Received request on port 8081: {test=request}
2025-03-25 15:44:17 [http-nio-8081-exec-8] INFO  c.z.c.controller.EchoController - Received request on port 8081
2025-03-25 17:13:34 [http-nio-8081-exec-1] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpMediaTypeNotSupportedException: Content-Type 'text/plain;charset=UTF-8' is not supported]
2025-03-25 17:22:18 [http-nio-8081-exec-3] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpMediaTypeNotSupportedException: Content-Type 'text/plain;charset=UTF-8' is not supported]
